时间,上证指数,上证50,沪深300,中证500,万得全A
2015-10-26,0.02452444259892269,0.0262345278209334,0.024906014077783305,0.027628802640876714,0.029326629682426244
2015-10-27,0.02451878864794139,0.026234501765906994,0.02490537298160808,0.02762097675931391,0.029321300140564745
2015-10-28,0.02454644273119194,0.026260679140169087,0.024938992867913345,0.027663706215112622,0.02936333178325291
2015-10-29,0.024540078173639034,0.026255339240108994,0.024930194182818124,0.027658133966479235,0.02935671986109423
2015-10-30,0.02453644015245982,0.026254056217750715,0.024925398046426753,0.02764619714201972,0.029347696280748157
2015-11-02,0.02455319452136779,0.02626826916396853,0.024942145194100738,0.02766443896531266,0.029367930079070313
2015-11-03,0.02455442816326303,0.026269490221783254,0.024942732468301726,0.027665391475644757,0.02936882872743568
2015-11-04,0.024689102518007672,0.02638011446616062,0.0250964177310662,0.027832239880401555,0.029559633291435825
2015-11-05,0.024682120614176406,0.026421785208457643,0.025099872002658556,0.027797338408870748,0.0295305534034015
2015-11-06,0.02469204779084528,0.026439537028954647,0.025124817362898715,0.027820844602433357,0.029563034131908854
2015-11-09,0.024705080645940278,0.026453200352471232,0.025131247609347148,0.027829334137946395,0.029577605188215613
2015-11-10,0.024697748890202747,0.02642139225134763,0.025117008553116483,0.02782886169768588,0.0295769143151987
2015-11-11,0.024697424140934645,0.026424608287623882,0.025117290414474018,0.027836995989610595,0.029581612516516396
2015-11-12,0.02470082673148733,0.026436817417249184,0.025128529442120823,0.02783375456781132,0.02958106363233909
2015-11-13,0.02471869197340173,0.026447203369459236,0.02514351809787808,0.027853851029757452,0.029610683715182856
2015-11-16,0.02472100854988193,0.026446884406445253,0.02514409579591432,0.027876080922513622,0.029623231159261236
2015-11-17,0.024719426325194294,0.026446864098691895,0.02514407512686342,0.027875104687013926,0.029623351172549005
2015-11-18,0.02469474788509838,0.026392433555807875,0.02511387089367351,0.027893445086652265,0.029632201769643866
2015-11-19,0.024705139895209463,0.026390761237754305,0.02512816681690281,0.02785971023082088,0.029635657944418775
2015-11-20,0.024699938208068647,0.026383657008775534,0.025116768706975233,0.027849569868479192,0.029626526045297464
2015-11-23,0.02470201011866824,0.02638468270333708,0.02511672275871836,0.027848271785336005,0.02962353332567623
2015-11-24,0.024700338441247756,0.026386885318134042,0.025116811295347003,0.027848348124807184,0.02962394773960478
2015-11-25,0.02470311012387501,0.02637316452243662,0.025115047252309192,0.027857471952243713,0.029635413908565663
2015-11-26,0.024698775248603356,0.026348914804012254,0.02510854967474635,0.027862485123352133,0.029636112631684253
2015-11-27,0.024956404709238777,0.02653052448745711,0.025353890821231396,0.028168375169653214,0.02993529316335598
2015-11-30,0.024956403098259864,0.02653046255382611,0.02535372757947382,0.02816759469086494,0.02993550422255612
2015-12-01,0.02494448504405856,0.026497087223371685,0.02533420916383148,0.028162252011768814,0.0299247365553221
2015-12-02,0.024959338867262437,0.026620296082660106,0.025384139774773908,0.028150910201910413,0.02991069014398581
2015-12-03,0.024959032915626726,0.026613563503312225,0.025375236182566333,0.028168079956642222,0.029919437891840543
2015-12-04,0.02497288415255398,0.026632383303586884,0.0253971215365764,0.028174101168435207,0.029926151438643824
2015-12-07,0.02496732266030053,0.026612378770891416,0.025389254808181924,0.028179520137716654,0.029925686662072393
2015-12-08,0.024973083391880792,0.02655119774153237,0.02539110150280956,0.028234249560482504,0.029954887551442707
2015-12-09,0.024972676086264804,0.026551012013019067,0.02539096950152839,0.028231068743106748,0.02995362647632419
2015-12-10,0.024904059565274726,0.026351983274400942,0.025291995728534536,0.028223314928007972,0.02991870490625518
2015-12-11,0.024906575946030265,0.026352192340570374,0.025279154803748538,0.028223104105905637,0.029915941519553284
2015-12-14,0.024810217602637637,0.02615013568268553,0.02517817831413407,0.02822163185778447,0.029887752767310368
2015-12-15,0.024799618798870028,0.026140553134904713,0.025178153179115564,0.028185313413089753,0.02988128069928103
2015-12-16,0.024739895370527037,0.025990772682511345,0.025050740772090883,0.028173638716641018,0.029847426299859408
2015-12-17,0.024513818137798234,0.025800721196871528,0.024908533590464122,0.02808540037528689,0.029726019671824436
2015-12-18,0.024448903132941575,0.02572126755139435,0.024804856776598647,0.028011051205590467,0.029642621057186395
2015-12-21,0.024468614806933697,0.025736114533046438,0.02484183732067,0.028005530369218604,0.02965874585647037
2015-12-22,0.024467995351731886,0.025736512330375716,0.024841706461639072,0.028006955857486138,0.029658834890056815
2015-12-23,0.024469092946542464,0.02573614958222626,0.024839473240458147,0.028002490717093757,0.029659739834094534
2015-12-24,0.024434113898194873,0.025593730825194564,0.024794552944605145,0.028003400524369473,0.029652095909798185
2015-12-25,0.024423008998092546,0.025491471610259536,0.024772811485540943,0.02799623411721256,0.02965314513497431
2015-12-28,0.024481984672894735,0.025570645125514973,0.024841578871226313,0.028044224976688983,0.029705625957412485
2015-12-29,0.02446615417809956,0.02556733597355208,0.024838619057813656,0.028044084909076436,0.02971102553180898
2015-12-30,0.024464159928723573,0.025549998012414858,0.024838068605699152,0.027924261850125958,0.029680102517931524
2015-12-31,0.02439287817573938,0.025515207115029696,0.024809382941200605,0.027909362343751302,0.029664868049114133
2016-01-04,0.02475234915939975,0.02566821634072812,0.025145260085231203,0.028415103319674853,0.03015126768522827
2016-01-05,0.024664745293218774,0.025554460295558468,0.025063916750942286,0.028408007739531973,0.030123019229836987
2016-01-06,0.02464419534423515,0.02541178344513458,0.025001825027213685,0.0284427399913905,0.030132906398142038
2016-01-07,0.025049302728729985,0.025682441461285097,0.02538753423194731,0.028959574987007904,0.030613208187217304
2016-01-08,0.02507921321344483,0.025685152737163854,0.025419829587274487,0.028952571608284527,0.03061935308985739
2016-01-11,0.025270055692801042,0.025797063769147636,0.02558171326799538,0.029270886764772852,0.03090987065721067
2016-01-12,0.02516814058645961,0.025743408196583384,0.02551224285419175,0.029251637596649952,0.030879041943451223
2016-01-13,0.02521441056319752,0.025749958576856906,0.025538877843669025,0.029330033595950173,0.030949634404896967
2016-01-14,0.02524198885050339,0.025762855269382864,0.025573517141412812,0.029404818826015262,0.031014633862075217
2016-01-15,0.025296431395991983,0.025760251859523214,0.02561100270841137,0.02950080180961347,0.031093432099818887
2016-01-18,0.025297705035653668,0.025758472138088538,0.025611401126558957,0.02950994880664664,0.03110313982559147
2016-01-19,0.0253573805427577,0.025817663913564357,0.025673314302000115,0.029580244282805063,0.031181642364723868
