时间,上证指数
2011-11-04,0.839732982613256
2011-11-07,0.839732982613256
2011-11-08,0.839732982613256
2011-11-09,0.839732982613256
2011-11-10,0.839732982613256
2011-11-11,0.839732982613256
2011-11-14,0.839732982613256
2011-11-15,0.839732982613256
2011-11-16,0.839732982613256
2011-11-17,0.839732982613256
2011-11-18,0.839732982613256
2011-11-21,0.839732982613256
2011-11-22,0.839732982613256
2011-11-23,0.839732982613256
2011-11-24,0.839732982613256
2011-11-25,0.839732982613256
2011-11-28,0.839732982613256
2011-11-29,0.839732982613256
2011-11-30,0.839732982613256
2011-12-01,0.839732982613256
2011-12-02,0.839732982613256
2011-12-05,0.839732982613256
2011-12-06,0.839732982613256
2011-12-07,0.839732982613256
2011-12-08,0.839732982613256
2011-12-09,0.839732982613256
2011-12-12,0.839732982613256
2011-12-13,0.839732982613256
2011-12-14,0.839732982613256
2011-12-15,0.839732982613256
2011-12-16,0.839732982613256
2011-12-19,0.839732982613256
2011-12-20,0.839732982613256
2011-12-21,0.839732982613256
2011-12-22,0.839732982613256
2011-12-23,0.839732982613256
2011-12-26,0.839732982613256
2011-12-27,0.839732982613256
2011-12-28,0.839732982613256
2011-12-29,0.839732982613256
2011-12-30,0.839732982613256
2012-01-04,0.839732982613256
2012-01-05,0.839732982613256
2012-01-06,0.839732982613256
2012-01-09,0.839732982613256
2012-01-10,0.839732982613256
2012-01-11,0.839732982613256
2012-01-12,0.839732982613256
2012-01-13,0.839732982613256
2012-01-16,0.839732982613256
2012-01-17,0.839732982613256
2012-01-18,0.839732982613256
2012-01-19,0.839732982613256
2012-01-20,0.839732982613256
2012-01-30,0.839732982613256
2012-01-31,0.839732982613256
2012-02-01,0.839732982613256
2012-02-02,0.839732982613256
2012-02-03,0.839732982613256
2012-02-06,0.839732982613256
2012-02-07,0.839732982613256
2012-02-08,0.839732982613256
2012-02-09,0.839732982613256
2012-02-10,0.839732982613256
2012-02-13,0.839732982613256
2012-02-14,0.839732982613256
2012-02-15,0.839732982613256
2012-02-16,0.839732982613256
2012-02-17,0.839732982613256
2012-02-20,0.839732982613256
2012-02-21,0.839732982613256
2012-02-22,0.839732982613256
2012-02-23,0.839732982613256
2012-02-24,0.839732982613256
2012-02-27,0.839732982613256
2012-02-28,0.839732982613256
2012-02-29,0.839732982613256
2012-03-01,0.839732982613256
2012-03-02,0.839732982613256
2012-03-05,0.839732982613256
2012-03-06,0.839732982613256
2012-03-07,0.839732982613256
2012-03-08,0.839732982613256
2012-03-09,0.839732982613256
2012-03-12,0.839732982613256
2012-03-13,0.839732982613256
2012-03-14,0.839732982613256
2012-03-15,0.839732982613256
2012-03-16,0.839732982613256
2012-03-19,0.839732982613256
2012-03-20,0.839732982613256
2012-03-21,0.839732982613256
2012-03-22,0.839732982613256
2012-03-23,0.839732982613256
2012-03-26,0.839732982613256
2012-03-27,0.839732982613256
2012-03-28,0.839732982613256
2012-03-29,0.839732982613256
2012-03-30,0.839732982613256
2012-04-05,0.839732982613256
2012-04-06,0.839732982613256
2012-04-09,0.839732982613256
2012-04-10,0.839732982613256
2012-04-11,0.839732982613256
2012-04-12,0.839732982613256
2012-04-13,0.839732982613256
2012-04-16,0.839732982613256
2012-04-17,0.839732982613256
2012-04-18,0.839732982613256
2012-04-19,0.839732982613256
2012-04-20,0.839732982613256
2012-04-23,0.839732982613256
2012-04-24,0.839732982613256
2012-04-25,0.839732982613256
2012-04-26,0.839732982613256
2012-04-27,0.839732982613256
2012-05-02,0.839732982613256
2012-05-03,0.839732982613256
2012-05-04,0.839732982613256
2012-05-07,0.839732982613256
2012-05-08,0.839732982613256
2012-05-09,0.839732982613256
2012-05-10,0.839732982613256
2012-05-11,0.839732982613256
2012-05-14,0.839732982613256
2012-05-15,0.839732982613256
2012-05-16,0.839732982613256
2012-05-17,0.839732982613256
2012-05-18,0.839732982613256
2012-05-21,0.839732982613256
2012-05-22,0.839732982613256
2012-05-23,0.839732982613256
2012-05-24,0.839732982613256
2012-05-25,0.839732982613256
2012-05-28,0.839732982613256
2012-05-29,0.839732982613256
2012-05-30,0.839732982613256
2012-05-31,0.839732982613256
2012-06-01,0.839732982613256
2012-06-04,0.839732982613256
2012-06-05,0.839732982613256
2012-06-06,0.839732982613256
2012-06-07,0.839732982613256
2012-06-08,0.839732982613256
2012-06-11,0.839732982613256
2012-06-12,0.839732982613256
2012-06-13,0.839732982613256
2012-06-14,0.839732982613256
2012-06-15,0.839732982613256
2012-06-18,0.839732982613256
2012-06-19,0.839732982613256
2012-06-20,0.839732982613256
2012-06-21,0.839732982613256
2012-06-25,0.839732982613256
2012-06-26,0.839732982613256
2012-06-27,0.839732982613256
2012-06-28,0.839732982613256
2012-06-29,0.839732982613256
2012-07-02,0.839732982613256
2012-07-03,0.839732982613256
2012-07-04,0.839732982613256
2012-07-05,0.839732982613256
2012-07-06,0.839732982613256
2012-07-09,0.839732982613256
2012-07-10,0.839732982613256
2012-07-11,0.839732982613256
2012-07-12,0.839732982613256
2012-07-13,0.839732982613256
2012-07-16,0.839732982613256
2012-07-17,0.839732982613256
2012-07-18,0.839732982613256
2012-07-19,0.839732982613256
2012-07-20,0.839732982613256
2012-07-23,0.839732982613256
2012-07-24,0.839732982613256
2012-07-25,0.839732982613256
2012-07-26,0.839732982613256
2012-07-27,0.839732982613256
2012-07-30,0.839732982613256
2012-07-31,0.839732982613256
2012-08-01,0.839732982613256
2012-08-02,0.839732982613256
2012-08-03,0.839732982613256
2012-08-06,0.839732982613256
2012-08-07,0.839732982613256
2012-08-08,0.839732982613256
2012-08-09,0.839732982613256
2012-08-10,0.839732982613256
2012-08-13,0.839732982613256
2012-08-14,0.839732982613256
2012-08-15,0.839732982613256
2012-08-16,0.839732982613256
2012-08-17,0.839732982613256
2012-08-20,0.839732982613256
2012-08-21,0.839732982613256
2012-08-22,0.839732982613256
2012-08-23,0.839732982613256
2012-08-24,0.839732982613256
2012-08-27,0.839732982613256
2012-08-28,0.839732982613256
2012-08-29,0.839732982613256
2012-08-30,0.839732982613256
2012-08-31,0.839732982613256
2012-09-03,0.839732982613256
2012-09-04,0.839732982613256
2012-09-05,0.839732982613256
2012-09-06,0.839732982613256
2012-09-07,0.839732982613256
2012-09-10,0.839732982613256
2012-09-11,0.839732982613256
2012-09-12,0.839732982613256
2012-09-13,0.839732982613256
2012-09-14,0.839732982613256
2012-09-17,0.839732982613256
2012-09-18,0.839732982613256
2012-09-19,0.839732982613256
2012-09-20,0.839732982613256
2012-09-21,0.839732982613256
2012-09-24,0.839732982613256
2012-09-25,0.839732982613256
2012-09-26,0.839732982613256
2012-09-27,0.839732982613256
2012-09-28,0.839732982613256
2012-10-08,0.839732982613256
2012-10-09,0.839732982613256
2012-10-10,0.839732982613256
2012-10-11,0.839732982613256
2012-10-12,0.839732982613256
2012-10-15,0.839732982613256
2012-10-16,0.839732982613256
2012-10-17,0.839732982613256
2012-10-18,0.8501298536775839
2012-10-19,0.8487794967376601
2012-10-22,0.8505565760419423
2012-10-23,0.8432540403281371
2012-10-24,0.8438693979058991
2012-10-25,0.838122604195237
2012-10-26,0.8240164390085728
2012-10-29,0.821118714990414
2012-10-30,0.8224762504374018
2012-10-31,0.8250816496956777
2012-11-01,0.8392584035351376
2012-11-02,0.844290536986986
2012-11-05,0.8430865418299778
2012-11-06,0.8398849276794437
2012-11-07,0.8397776488794321
2012-11-08,0.8261301105329665
2012-11-09,0.8251562264079535
2012-11-12,0.8292268387191768
2012-11-13,0.8167103140412357
2012-11-14,0.8197133228296665
2012-11-15,0.8096917281624056
2012-11-16,0.8034843135818048
2012-11-19,0.8043844186064382
2012-11-20,0.8011704414715162
2012-11-21,0.8097032935348976
2012-11-22,0.8038376556517318
2012-11-23,0.8085327980775212
2012-11-26,0.8045766430733735
2012-11-27,0.7940884454469541
2012-11-28,0.78705271091236
2012-11-29,0.7830506932241924
2012-11-30,0.7896824373334638
2012-12-03,0.781566736291689
2012-12-04,0.7876987765481179
2012-12-05,0.8103365973803196
2012-12-06,0.809271785499163
2012-12-07,0.8222525203005747
2012-12-10,0.8310198702613795
2012-12-11,0.8274042955368227
2012-12-12,0.8306035168516687
2012-12-13,0.822128890456695
2012-12-14,0.8576820419148365
2012-12-17,0.8615572393115405
2012-12-18,0.8624035055331939
2012-12-19,0.8623137741948942
2012-12-20,0.8647520737609586
2012-12-21,0.8587528358852132
2012-12-24,0.8610431784445701
2012-12-25,0.8828012333554864
2012-12-26,0.8850030409943875
2012-12-27,0.8797248442726239
2012-12-28,0.8906341809801301
2012-12-31,0.9049417431705339
2013-01-04,0.9080779531455961
2013-01-07,0.9114167565422417
2013-01-08,0.9077102540615413
2013-01-09,0.9074191257195021
2013-01-10,0.9107363935949558
2013-01-11,0.8945205449433782
2013-01-14,0.921935662226657
2013-01-15,0.9274958147536557
2013-01-16,0.9210419380971918
2013-01-17,0.9112352998359023
2013-01-18,0.9240612979294907
2013-01-21,0.9285083830556248
2013-01-22,0.923291203643905
2013-01-23,0.9255931115757539
2013-01-24,0.9182897782500525
2013-01-25,0.9137856638733546
2013-01-28,0.9358001510088343
2013-01-29,0.9407740587922748
2013-01-30,0.9501452009583496
2013-01-31,0.9513204820871021
2013-02-01,0.9647195643279646
2013-02-04,0.9683622578569852
2013-02-05,0.9703467162542271
2013-02-06,0.9708839078661814
2013-02-07,0.9645241494134452
2013-02-08,0.9700563855240841
2013-02-18,0.9657317338239855
2013-02-19,0.9503202767695215
2013-02-20,0.9560088448117756
2013-02-21,0.9276030935536679
2013-02-22,0.9229023678446066
2013-02-25,0.927550451168532
2013-02-26,0.9145980315894281
2013-02-27,0.9225258950296955
2013-02-28,0.9434125589442347
2013-03-01,0.9409850271387663
2013-03-04,0.906647037404177
2013-03-05,0.9277446696652075
2013-03-06,0.9360689462177858
2013-03-07,0.9269418732918862
2013-03-08,0.9246758578953571
2013-03-11,0.921478231804303
2013-03-12,0.9119116747237087
2013-03-13,0.9028839044788607
2013-03-14,0.9053999712047849
2013-03-15,0.9086398707263268
2013-03-18,0.8933317044123944
2013-03-19,0.9002781064146368
2013-03-20,0.9241825349376823
2013-03-21,0.926921534188538
2013-03-22,0.9285311149946608
